fid,radio_type,lon,lat
714,UMTS,30.134507,-1.952952
715,UMTS,30.16777039,-1.976852417
716,UMTS,30.10734558,-1.971359253
717,UMTS,30.104599,-1.95385
718,UMTS,30.185623,-1.956253
719,UMTS,30.134211,-1.964493
720,UMTS,30.12931824,-1.957626343
721,UMTS,30.088014,-1.971693
722,UMTS,30.13206482,-1.990585327
723,UMTS,30.113659,-1.991668
724,UMTS,30.102615,-1.953456
725,UMTS,30.108032,-1.969299
726,UMTS,30.125656,-1.95076
727,UMTS,30.100021,-1.978226
728,UMTS,30.12382507,-1.948013306
729,UMTS,30.127044,-1.956723
730,UMTS,30.116189,-1.954746
731,UMTS,30.43418884,-1.952133179
732,UMTS,30.10597229,-1.969985962
733,UMTS,30.117645,-1.95076
734,UMTS,30.10047913,-1.968612671
735,UMTS,30.10047913,-1.968612671
736,UMTS,30.12519836,-1.971359253
737,UMTS,30.11558533,-1.949386597
738,UMTS,29.64454651,-1.508560181
739,UMTS,30.12794495,-1.960372925
740,UMTS,30.09223938,-1.948013306
741,UMTS,30.101591,-1.953684
742,UMTS,30.13755798,-1.95350647
743,UMTS,30.094195,-1.953122
744,UMTS,30.152664,-1.958313
745,UMTS,30.06202698,-1.948013306
746,UMTS,30.05104065,-1.937026978
747,UMTS,30.06202698,-1.943893433
748,UMTS,30.07850647,-1.934280396
749,UMTS,30.07713318,-1.996078491
750,UMTS,30.07850647,-1.946640015
751,UMTS,30.1035,-1.953506
752,UMTS,30.09910583,-1.95350647
753,UMTS,30.14717102,-1.969985962
754,UMTS,30.05378723,-1.96723938
755,UMTS,30.00709534,-1.919174194
756,UMTS,30.11833191,-1.958999634
757,UMTS,30.05378723,-1.954879761
758,UMTS,30.070267,-1.960648
759,UMTS,30.074975,-1.949975
760,UMTS,30.07301331,-1.950759888
761,UMTS,30.0592804,-1.937026978
762,UMTS,30.062836,-1.944253
763,UMTS,30.051041,-1.927872
